product_id,product_name,supplier_name,rank,sept_avg_daily_sales,sept_stock,oct_avg_daily_sales,oct_actual_sales,current_order_per_cycle,current_total_order,current_oct_end_stock,current_stockout,moderate_order_per_cycle,moderate_total_order,moderate_oct_end_stock,moderate_stockout,cost,current_stock_value,moderate_stock_value
1227,白神こだま酵母ドライ 10g×5,A.ゆうき八百屋,B,0.21,2,0.1,3.1,0.1,0.4,-0.7,True,0.4,1.7,0.6,False,610,0.0,342.0
1817,はつかりめんつゆ 500ml,A.ゆうき八百屋,A,0.43,4,0.17,5.3,0.3,1.2,-0.1,True,1.6,6.4,5.1,False,602,0.0,3064.0
9339709006922,やさしい豆乳クッキー ソイラテ 7枚,A.ゆうき八百屋,B,0.36,2,0.0,0.0,1.6,6.4,8.4,False,2.1,8.6,10.6,False,259,2176.0,2735.0
9352218003374,かき氷シロップ マンゴー 180ml,A.ゆうき八百屋,D,0.07,0,0.0,0.0,0.7,2.8,2.8,False,0.6,2.2,2.2,False,455,1274.0,1019.0
11596,有機発芽玄米もち 300g,A.ゆうき八百屋,D,0.07,0,0.27,8.4,0.7,2.8,-5.6,True,0.6,2.2,-6.1,True,448,0.0,0.0
10498,乾燥あおさのり25g,A.ゆうき八百屋,D,0.07,0,0.03,0.9,0.7,2.8,1.9,False,0.6,2.2,1.3,False,444,830.0,582.0
1865,松田マヨネーズ辛口 300g,A.ゆうき八百屋,A,0.64,6,1.0,31.0,0.4,1.6,-23.4,True,2.3,9.3,-15.7,True,444,0.0,0.0
16070,有機ココナッツファイン 120g,A.ゆうき八百屋,E,0.07,0,0.0,0.0,0.7,2.8,2.8,False,0.4,1.7,1.7,False,420,1176.0,706.0
13229,玄米おかき いづも美人 古代米(黒米) 100g,A.ゆうき八百屋,A,0.43,4,0.23,7.1,0.3,1.2,-1.9,True,1.6,6.4,3.2,False,413,0.0,1334.0
16064,松の実(生) 30g,A.ゆうき八百屋,A,0.43,4,0.1,3.1,0.3,1.2,2.1,False,1.6,6.4,7.3,False,406,853.0,2948.0
1756,有機カレースパイス甘口 25g,A.ゆうき八百屋,A,0.5,4,0.27,8.4,1.0,4.0,-0.4,True,2.5,10.0,5.6,False,406,0.0,2286.0
9352218001872,玄米ぽんせん 30g,A.ゆうき八百屋,C,0.43,3,0.0,0.0,1.3,5.2,8.2,False,1.3,5.2,8.2,False,203,1665.0,1665.0
225,かき氷シロップ レモン 180ml,A.ゆうき八百屋,E,0.07,0,0.13,4.0,0.7,2.8,-1.2,True,0.4,1.7,-2.4,True,391,0.0,0.0
13121,平譯さんの畑から うずら豆 300g,A.ゆうき八百屋,E,0.07,0,0.13,4.0,0.7,2.8,-1.2,True,0.4,1.7,-2.4,True,385,0.0,0.0
1478,屋久島縄文水 1500ml,A.ゆうき八百屋,A,1.21,11,0.7,21.7,1.1,4.4,-6.3,True,4.7,18.9,8.2,False,188,0.0,1545.0
552,あんこ屋野中のなめらか水ようかん 小倉 80g,A.ゆうき八百屋,E,0.14,0,0.07,2.2,1.4,5.6,3.4,False,0.8,3.4,1.2,False,178,611.0,212.0
7223,あんこ屋野中のなめらか水ようかん こし 80g,A.ゆうき八百屋,E,0.14,0,0.0,0.0,1.4,5.6,5.6,False,0.8,3.4,3.4,False,178,997.0,598.0
14235,無茶々園のひじき 30g,A.ゆうき八百屋,B,0.29,2,0.33,10.2,0.9,3.6,-4.6,True,1.3,5.3,-2.9,True,350,0.0,0.0
1988,有機純米酢 老梅 500ml,A.ゆうき八百屋,A,0.71,7,0.8,24.8,0.1,0.4,-17.4,True,2.2,8.9,-8.9,True,329,0.0,0.0
8932,青大豆きな粉 100g,A.ゆうき八百屋,E,0.07,0,0.0,0.0,0.7,2.8,2.8,False,0.4,1.7,1.7,False,322,902.0,541.0
1747,バジルペーストミニパック(ジェノベーゼ) 10g×3,A.ゆうき八百屋,C,0.29,2,0.13,4.0,0.9,3.6,1.6,False,0.9,3.6,1.6,False,315,495.0,495.0
1799,オイスターソース 115g,A.ゆうき八百屋,A,1.14,11,0.57,17.7,0.4,1.6,-5.1,True,3.8,15.3,8.6,False,315,0.0,2712.0
9352218005921,オーガニックルイボスティー TB 1.8gx15,A.ゆうき八百屋,B,0.5,4,0.2,6.2,1.0,4.0,1.8,False,1.8,7.0,4.8,False,294,529.0,1411.0
11070,減塩ウスターソース 360ml,A.ゆうき八百屋,E,0.07,0,0.07,2.2,0.7,2.8,0.6,False,0.4,1.7,-0.5,True,287,181.0,0.0
3689,にんじんミックスジュース 200ml,A.ゆうき八百屋,E,0.07,0,0.33,10.2,0.7,2.8,-7.4,True,0.4,1.7,-8.6,True,212,0.0,0.0
1130,きらず揚げ しお ,A.ゆうき八百屋,C,0.36,3,0.43,13.3,0.6,2.4,-7.9,True,0.6,2.4,-7.9,True,210,0.0,0.0
9352218002924,つや姫 一膳パック(特別栽培米) 150g,A.ゆうき八百屋,E,0.07,0,0.5,15.5,0.7,2.8,-12.7,True,0.4,1.7,-13.8,True,163,0.0,0.0
7356,ゲランドの塩 細粒塩 500g,A.ゆうき八百屋,D,0.07,5,0.27,8.4,0.0,0.0,-3.4,True,0.0,0.0,-3.4,True,741,0.0,0.0
10748,ゲランドの塩 細粒塩(容器入) 125g,A.ゆうき八百屋,C,0.14,3,0.17,5.3,0.0,0.0,-2.3,True,0.0,0.0,-2.3,True,574,0.0,0.0
198,天然わかめ(塩蔵) 200g,A.ゆうき八百屋,B,0.43,5,0.37,11.5,0.0,0.0,-6.5,True,0.0,0.0,-6.5,True,388,0.0,0.0
5933,ジューシーフルーツ(河内晩柑)ジュース 720ｍl,A.ゆうき八百屋,A,0.29,4,0.1,3.1,0.0,0.0,0.9,False,0.0,0.0,0.9,False,808,727.0,727.0
9352218005544,みかんブレンドジュース 720ml,A.ゆうき八百屋,A,0.21,7,0.23,7.1,0.0,0.0,-0.1,True,0.0,0.0,-0.1,True,808,0.0,0.0
3726,削り節パック 3g×5,A.ゆうき八百屋,B,0.5,11,0.17,5.3,0.0,0.0,5.7,False,0.0,0.0,5.7,False,297,1702.0,1702.0
9352218002658,カカオニブ(粗挽きカカオ豆) 80g,A.ゆうき八百屋,B,0.14,8,0.23,7.1,0.0,0.0,0.9,False,0.0,0.0,0.9,False,700,609.0,609.0
8922,赤レンズ豆 120g,A.ゆうき八百屋,E,0.14,5,0.3,9.3,0.0,0.0,-4.3,True,0.0,0.0,-4.3,True,210,0.0,0.0
9339709006872,フェアトレードチョコレート オーガニックビター 50g,A.ゆうき八百屋,A,1.0,21,1.03,31.9,0.0,0.0,-10.9,True,0.0,0.0,-10.9,True,334,0.0,0.0
1824,大地を守る会の洋風ブイヨン15g×10,A.ゆうき八百屋,B,0.21,6,0.27,8.4,0.0,0.0,-2.4,True,0.0,0.0,-2.4,True,445,0.0,0.0
6207,雪塩 クッキングボトル 50g,A.ゆうき八百屋,D,0.14,3,0.3,9.3,0.0,0.0,-6.3,True,0.0,0.0,-6.3,True,350,0.0,0.0
10606,パルミエパイ 60g,A.ゆうき八百屋,E,0.07,7,0.47,14.6,0.0,0.0,-7.6,True,0.0,0.0,-7.6,True,301,0.0,0.0
9352218002034,有機ペンネ 300g,A.ゆうき八百屋,E,0.07,3,0.13,4.0,0.0,0.0,-1.0,True,0.0,0.0,-1.0,True,280,0.0,0.0
10525,雪塩 120g,A.ゆうき八百屋,B,0.21,4,0.0,0.0,0.0,0.0,4.0,False,0.0,0.0,4.0,False,560,2240.0,2240.0
16101,有機ヴィーガンミートソース 280g,A.ゆうき八百屋,E,0.07,2,0.07,2.2,0.0,0.0,-0.2,True,0.0,0.0,-0.2,True,385,0.0,0.0
14720,有機ヴィーガン塩ラーメン(カップ) 61g,A.ゆうき八百屋,E,0.07,2,0.0,0.0,0.0,0.0,2.0,False,0.0,0.0,2.0,False,350,700.0,700.0
1757,有機カレースパイス辛口 25g,A.ゆうき八百屋,C,0.21,4,0.23,7.1,0.0,0.0,-3.1,True,0.0,0.0,-3.1,True,406,0.0,0.0
6955,ウエダ家の自然発酵乳酸菌 1g×10,A.ゆうき八百屋,C,0.07,4,0.0,0.0,0.0,0.0,4.0,False,0.0,0.0,4.0,False,910,3640.0,3640.0
9352218005646,有機梅干し(白干し) 120g,A.ゆうき八百屋,A,0.36,7,0.27,8.4,0.0,0.0,-1.4,True,0.0,0.0,-1.4,True,497,0.0,0.0
6192,オーガニックハニーブッシュティ 500ml,A.ゆうき八百屋,A,1.57,38,1.27,39.4,0.0,0.0,-1.4,True,0.0,0.0,-1.4,True,101,0.0,0.0
1471,オーガニックルイボスティー ライト 350ml,A.ゆうき八百屋,B,1.07,40,1.17,36.3,0.0,0.0,3.7,False,0.0,0.0,3.7,False,94,351.0,351.0
10594,ミント・ルイボスティー 1.8g×30TB,A.ゆうき八百屋,C,0.14,4,0.13,4.0,0.0,0.0,-0.0,True,0.0,0.0,-0.0,True,560,0.0,0.0
5674,オーガニックマウンテン 有機インスタントコーヒー(詰替) 80g,A.ゆうき八百屋,B,0.21,4,0.17,5.3,0.0,0.0,-1.3,True,0.0,0.0,-1.3,True,798,0.0,0.0
10717,京都宇治 有機和紅茶 2gx12,A.ゆうき八百屋,C,0.14,5,0.17,5.3,0.0,0.0,-0.3,True,0.0,0.0,-0.3,True,448,0.0,0.0
8929,やさか甘口味噌 750g,A.ゆうき八百屋,A,0.43,6,0.27,8.4,0.0,0.0,-2.4,True,0.0,0.0,-2.4,True,633,0.0,0.0
8930,やさか中辛口味噌 750g,A.ゆうき八百屋,B,0.21,7,0.17,5.3,0.0,0.0,1.7,False,0.0,0.0,1.7,False,633,1095.0,1095.0
9352218005136,ギュっと玄米 8枚,A.ゆうき八百屋,D,0.21,4,0.1,3.1,0.0,0.0,0.9,False,0.0,0.0,0.9,False,266,239.0,239.0
9352218005135,ギュっとシリアル 8枚,A.ゆうき八百屋,E,0.07,4,0.0,0.0,0.0,0.0,4.0,False,0.0,0.0,4.0,False,266,1064.0,1064.0
9352218005055,ギュっと柑橘 8枚,A.ゆうき八百屋,E,0.07,4,0.1,3.1,0.0,0.0,0.9,False,0.0,0.0,0.9,False,266,239.0,239.0
