ランク,係数,商品数,発注数,発注金額,在庫金額,欠品商品数,欠品率,適正在庫率,平均在庫日数
A,1.5,3,68,"¥15,454","¥19,938",0,0.0%,33.3%,15.2日
B,1.2,3,4,"¥4,020","¥14,708",0,0.0%,66.7%,15.5日
C,1.0,2,3,"¥2,700","¥4,233",0,0.0%,100.0%,10.3日
D,0.7,1,0,¥0,¥945,1,100.0%,0.0%,7.0日
E,0.5,2,2,"¥1,078","¥3,976",1,50.0%,0.0%,24.9日
