発注方法,発注数,発注金額,欠品リスク率,平均カバー日数,発注商品数
現行ロジック,42,"¥14,654",36.4%,13.9日,7
A. 先週補充法（バッファ30%）,46,"¥15,612",36.4%,14.1日,7
A. 先週補充法（バッファ50%）,54,"¥17,403",36.4%,14.6日,7
B. 定点補充法（係数1.5）,54,"¥17,403",36.4%,14.6日,7
B. 定点補充法（係数2.0）,79,"¥25,084",36.4%,17.0日,8
C. Min-Max法（0.5-2.0）,42,"¥16,076",36.4%,14.4日,4
C. Min-Max法（0.3-1.5）,32,"¥12,162",36.4%,13.2日,4
