period,prediction_date,product_id,product_name,predicted,actual,avg_daily_sales,rank,lookback_days,forecast_days
1,2026-01-22,11827,オホーツクおこっぺ醗酵バター (有塩) 125g,2.5,2,0.36,B,14,7
1,2026-01-22,11584,オホーツクおこっぺ有機牛乳 180ml,12.0,15,1.71,A,14,7
1,2026-01-22,11587,オホーツクおこっぺ有機のむヨーグルト 180ml,17.5,13,2.5,A,14,7
1,2026-01-22,11589,おこっぺバタークリームケーキ 1個,2.5,0,0.36,D,14,7
1,2026-01-22,11828,おこっぺ有機チーズモッツァレラ 100g,1.0,0,0.14,E,14,7
1,2026-01-22,13373,おこっぺ有機スモークチーズ 80g,3.0,2,0.43,B,14,7
1,2026-01-22,11586,オホーツクおこっぺ有機ヨーグルト砂糖不使用 150g,4.5,5,0.64,D,14,7
1,2026-01-22,9352218003395,sソフトクリーム平干し芋付,0.0,0,0.0,E,14,7
1,2026-01-22,11825,オホーツクおこっぺ有機牛乳 900ml,0.0,0,0.0,E,14,7
1,2026-01-22,11826,オホーツクおこっぺ醗酵バター (食塩不使用) 125g,0.0,0,0.0,E,14,7
1,2026-01-22,11588,おこっぺ醗酵バターケーキ ピース 1個,0.0,0,0.0,E,14,7
1,2026-01-22,14813,醗酵バターケーキ ホール,0.0,0,0.0,E,14,7
1,2026-01-22,11585,オホーツクおこっぺ有機ヨーグルト 加糖 150g,0.0,0,0.0,E,14,7
1,2026-01-22,13406,おこっぺ季節の有機セミハードチーズ 80g,2.5,0,0.36,C,14,7
1,2026-01-22,13330,ゴーダチーズ 80g,0.0,0,0.0,E,14,7
1,2026-01-22,13331,スモークチーズ 80g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218005121,おこっぺ有機スモークチーズ(キューブ) 40g,0.0,0,0.0,E,14,7
1,2026-01-22,13372,おこっぺ有機ゴーダチーズ 80g,1.0,1,0.14,E,14,7
1,2026-01-22,9352218001506,おこっぺ季節の有機セミハードチーズ 80g,0.0,0,0.0,E,14,7
1,2026-01-22,9352218001722,福まめ 85g,11.0,10,1.57,A,14,7
1,2026-01-22,14716,オーガニック玄米もち プレーン 300g,2.0,0,0.29,C,14,7
1,2026-01-22,1238,オーガニック玄米もち 黒豆 300g,0.0,0,0.0,E,14,7
1,2026-01-22,1237,オーガニック玄米もち よもぎ 300g,0.0,0,0.0,E,14,7
1,2026-01-22,2115,有機きな粉 80g,0.0,0,0.0,E,14,7
1,2026-01-22,2105,オーガニック能登そば 100gx2,0.0,0,0.0,E,14,7
1,2026-01-22,1320,オーガニック米あめ 200g,0.0,0,0.0,E,14,7
1,2026-01-22,14761,アナッサギフトボックス,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002569,オーガニックわたしのぬか床 タッパ付き 1kg,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002570,オーガニックわたしのぬか床 タッパなし 1kg,0.0,0,0.0,E,14,7
1,2026-01-22,9352218002571,オーガニックわたしのぬか床 たしぬか 240g(補充用・塩なし),0.0,0,0.0,E,14,7
1,2026-01-22,9352218004438,ANASSA 4種お試しセット ,0.0,0,0.0,E,14,7
