productId,productName,supplierName,rank,unitPrice,sepEndStock,avgDailySales,currentOrder,rankOrder,coefficient,octSales,currentOctEnd,rankOctEnd,currentStockout,rankStockout
9352218006267,ga・ra ギリシャヨーグルト プレーン 400g,C.ゆうき八百屋,E,780,0,0.0,0,0,0.6,0,0,0,False,False
13391,有機大豆 まるごと美人(充填豆腐)300g,C.ゆうき八百屋,E,320,0,0.0,0,0,0.6,0,0,0,False,False
5821,富士山ゆうゆう鶏 モモ 200g,C.ゆうき八百屋,E,890,0,0.0,0,0,0.6,0,0,0,False,False
5820,富士山ゆうゆう鶏 ムネ 200g,C.ゆうき八百屋,E,650,0,0.0,0,0,0.6,0,0,0,False,False
7052,富士山ゆうゆう鶏 ササミ 230g,C.ゆうき八百屋,E,750,0,0.0,0,0,0.6,0,0,0,False,False
15654,富士山ゆうゆう鶏 手羽元 230g,C.ゆうき八百屋,E,540,0,0.0,0,0,0.6,0,0,0,False,False
15338,富士山ゆうゆう鶏 スペアリブ 200g,C.ゆうき八百屋,E,680,0,0.0,0,0,0.6,0,0,0,False,False
7053,富士山ゆうゆう鶏 挽き肉 150g,C.ゆうき八百屋,E,490,0,0.0,0,0,0.6,0,0,0,False,False
7455,富士山ゆうゆう鶏 小間肉 200g,C.ゆうき八百屋,E,690,0,0.0,0,0,0.6,0,0,0,False,False
13387,ピュアブラウン1.5倍巻き8Rダブル,C.ゆうき八百屋,E,680,0,0.0,0,0,0.6,0,0,0,False,False
11541,那須のおいしい牛乳 500ml,C.ゆうき八百屋,E,290,0,0.0,0,0,0.6,0,0,0,False,False
11543,おいしい低脂肪乳 1000ml,C.ゆうき八百屋,E,450,0,0.0,0,0,0.6,0,0,0,False,False
11542,おいしい低脂肪乳 500ml,C.ゆうき八百屋,E,290,0,0.0,0,0,0.6,0,0,0,False,False
15363,有機JAS 手づくり牧草の牛乳 500ml,C.ゆうき八百屋,E,460,0,0.0,0,0,0.6,0,0,0,False,False
15362,ケフィアヨーグルト 405g,C.ゆうき八百屋,E,540,0,0.0,0,0,0.6,0,0,0,False,False
12816,有機牛乳で作った手づくり牧草のヨーグルト 405g,C.ゆうき八百屋,E,580,0,0.0,0,0,0.6,0,0,0,False,False
279,よつ葉カマンベールチーズ 90g,C.ゆうき八百屋,B,580,15,0.57,0,0,1.15,0,15,15,False,False
13755,よつ葉クリームチーズ 200g,C.ゆうき八百屋,E,560,0,0.0,0,0,0.6,0,0,0,False,False
15364,よつ葉 濃厚ヨーグルト やさしい甘さ 80g,C.ゆうき八百屋,E,190,0,0.0,0,0,0.6,0,0,0,False,False
9352218003100,バターミルクヨーグルト 100g,C.ゆうき八百屋,E,180,0,0.0,0,0,0.6,0,0,0,False,False
15804,のむヨーグルト＋朝のミルクたんぱく 砂糖不使用 250g,C.ゆうき八百屋,E,280,0,0.0,0,0,0.6,0,0,0,False,False
9352218005795,バター(食塩不使用) 150g,C.ゆうき八百屋,E,530,7,0.0,0,0,0.6,0,7,7,False,False
13485,北海道十勝バター 塩分50％カット 150g,C.ゆうき八百屋,D,520,12,0.1,0,0,0.8,0,12,12,False,False
9339709006741,よつ葉北海道十勝 なめらかクリームチーズ 100g,C.ゆうき八百屋,E,290,3,0.0,0,0,0.6,0,3,3,False,False
14083,よつ葉 DESSERT YOGHURT 100g,C.ゆうき八百屋,E,160,0,0.0,0,0,0.6,0,0,0,False,False
9339709006742,よつ葉北海道十勝 3種のチーズ贅沢モッツァレラブレンド 120g,C.ゆうき八百屋,E,540,3,0.0,0,0,0.6,0,3,3,False,False
9339709006743,よつ葉北海道十勝 3種のチーズ濃厚コク旨ブレンド 130g,C.ゆうき八百屋,E,540,0,0.0,0,0,0.6,0,0,0,False,False
9352218003082,よつ葉北海道十勝 おつまみチーズチェダー 30g,C.ゆうき八百屋,E,260,0,0.0,0,0,0.6,0,0,0,False,False
9352218003083,よつ葉北海道十勝 おつまみチーズゴーダ 30g,C.ゆうき八百屋,E,260,0,0.0,0,0,0.6,0,0,0,False,False
15397,よつ葉北海道十勝100三種のチーズ贅沢モッツァレラブレンド 120g,C.ゆうき八百屋,E,520,0,0.0,0,0,0.6,0,0,0,False,False
14406,飛騨酪農カスタードプリン 90g×3,C.ゆうき八百屋,E,380,0,0.0,0,0,0.6,0,0,0,False,False
490,飲んでやさしいヨーグルト 500ml,C.ゆうき八百屋,E,320,0,0.0,0,0,0.6,0,0,0,False,False
15352,国産有機小粒納豆 カップ 30g×2,C.ゆうき八百屋,E,190,0,0.0,0,0,0.6,0,0,0,False,False
465,粗挽ウィンナー 120g,C.ゆうき八百屋,E,480,0,0.0,0,0,0.6,0,0,0,False,False
15114,皮なしポークウィンナー 120g,C.ゆうき八百屋,E,480,0,0.0,0,0,0.6,0,0,0,False,False
5977,皮なしノンスパイスウィンナー 120g,C.ゆうき八百屋,E,480,0,0.0,0,0,0.6,0,0,0,False,False
467,バラベーコンスライス 100g,C.ゆうき八百屋,E,650,0,0.0,0,0,0.6,0,0,0,False,False
9352218003753,ボンレスハムスライス 100g,C.ゆうき八百屋,E,640,0,0.0,0,0,0.6,0,0,0,False,False
15336,ベーコンブロック 250g,C.ゆうき八百屋,E,1500,0,0.0,0,0,0.6,0,0,0,False,False
15706,豚挽肉 300g,C.ゆうき八百屋,E,920,0,0.0,0,0,0.6,0,0,0,False,False
12735,豚ロースしゃぶしゃぶ 200g,C.ゆうき八百屋,C,850,2,0.2,0,0,1.0,0,2,2,False,False
15339,豚ロース切身(2枚入) 200g,C.ゆうき八百屋,E,930,0,0.0,0,0,0.6,0,0,0,False,False
11621,豚上挽肉 200g,C.ゆうき八百屋,E,670,0,0.0,0,0,0.6,0,0,0,False,False
15760,豚ロースブロック 400g,C.ゆうき八百屋,E,1780,0,0.0,0,0,0.6,0,0,0,False,False
15685,豚ヒレブロック 400g,C.ゆうき八百屋,E,2230,0,0.0,0,0,0.6,0,0,0,False,False
15340,豚バラブロック 400g,C.ゆうき八百屋,E,1390,2,0.0,0,0,0.6,0,2,2,False,False
15317,みずほ牛モモスライス 180g,C.ゆうき八百屋,E,1650,0,0.0,0,0,0.6,0,0,0,False,False
15318,みずほ牛切り落とし 180g,C.ゆうき八百屋,E,1380,0,0.0,0,0,0.6,0,0,0,False,False
2026,有機生いもまるごと芋こんにゃく 140g,C.ゆうき八百屋,E,150,0,0.0,0,0,0.6,0,0,0,False,False
2025,有機栽培 生いもまるごと芋しらたきミニ 120g,C.ゆうき八百屋,E,150,0,0.0,0,0,0.6,0,0,0,False,False
117,農家が造った夏野菜のピクルス 200g,C.ゆうき八百屋,E,369,0,0.0,0,0,0.6,0,0,0,False,False
13353,昆布だしで漬けた浅漬け三昧200g,C.ゆうき八百屋,E,340,0,0.0,0,0,0.6,0,0,0,False,False
7567,カクテキ 200g,C.ゆうき八百屋,E,450,0,0.0,0,0,0.6,0,0,0,False,False
2185,有機オリーブオイル オルチョサンニータ 440g,A.ゆうき八百屋,A,4420,0,0.2,2,2,1.3,1,1,1,False,False
9352218005645,国産有機大麦茶 TB 10gx40,A.ゆうき八百屋,B,730,1,0.6,5,5,1.15,0,6,6,False,False
9352218002033,有機スパゲティ 500g,A.ゆうき八百屋,B,580,2,0.77,6,6,1.15,0,8,8,False,False
1560,有機玄米ごはん 160g,A.ゆうき八百屋,B,290,0,1.2,12,13,1.15,30,0,0,True,True
14637,玄米味噌 1kg,A.ゆうき八百屋,B,1650,0,0.2,2,2,1.15,4,0,0,True,True
10499,無茶々園のちりめん 40g,A.ゆうき八百屋,B,490,0,0.6,6,6,1.15,14,0,0,True,True
1864,松田マヨネーズ甘口 300g,A.ゆうき八百屋,A,680,6,1.0,4,5,1.3,14,0,0,True,True
10649,有機食用亜麻仁油 218g,A.ゆうき八百屋,D,2400,0,0.03,1,1,0.8,0,1,1,False,False
1865,松田マヨネーズ辛口 300g,A.ゆうき八百屋,A,680,6,0.87,3,3,1.3,30,0,0,True,True
1591,オイルサーディン 100g,A.ゆうき八百屋,C,430,0,0.33,4,3,1.0,5,0,0,True,True
16122,有機ヘンププロテインパウダー 160g,A.ゆうき八百屋,D,1670,0,0.03,1,1,0.8,0,1,1,False,False
2023,無茶々園の青ゆずこしょう 50g,A.ゆうき八百屋,C,540,0,0.27,3,2,1.0,12,0,0,True,True
9352218005562,みかんジュース(ブレンド)180ml,A.ゆうき八百屋,C,380,0,0.4,4,4,1.0,0,4,4,False,False
12779,オーガニックハーブウォーター カモミール500ml,A.ゆうき八百屋,A,230,15,2.2,7,9,1.3,47,0,0,True,True
5903,ゆずストレート果汁 150ml,A.ゆうき八百屋,D,680,0,0.13,2,1,0.8,3,0,0,True,True
1130,きらず揚げ しお ,A.ゆうき八百屋,B,330,3,0.63,4,3,1.15,13,0,0,True,True
1769,王国のグリーンカレー 50g,A.ゆうき八百屋,D,520,0,0.17,2,1,0.8,3,0,0,True,True
